Code;y1960;y1964;y1968;y1972;y1976;y1980;y1984;y1988;y1992;y1996;y2000;y2004;y2008
AFG;;;;;;;;;;;;;000000,037694966
AHO;;;;;;;;000000,067750246;;;;;
ALG;;;;;;;000000,091349825;;000000,073581024;000000,101999742;000000,160340394;;000000,057453007
ARG;000000,193995123;000000,045549939;000000,085979817;000000,040350321;;;;000000,408862697;000000,059426271;000000,564657792;000000,539702499;000001,213567854;000001,262943312
ARM;;;;;;;;;;000000,630233896;000000,325087172;;000002,016787063
AUS;000003,503146068;000003,761081759;000004,080273128;000001,517796160;000001,710254400;000000,816771032;000003,216675244;000002,056592589;000003,258073735;000007,208781607;000009,554638960;000007,800312012;000007,012028688
AUT;000000,425680511;;000000,674272187;000000,397656425;000000,132178534;000000,662301394;000000,396750140;000000,131833647;000000,765236919;000000,376930970;000000,499278169;000000,978956594;000000,360512100
AZE;;;;;;;;;;000000,128816179;000000,372735631;000000,601938241;000000,798776730
BAH;;000014,959198790;;;;;;;000003,757519736;000017,618537520;000020,141595420;000006,200800523;000014,343621530
BAR;;;;;;;;;;;000003,705927260;;
BDI;;;;;;;;;;000000,157892701;;;
BEL;000000,436991840;000000,319893778;000000,311890644;000000,205949574;000000,916662448;000000,101427676;000000,507337521;000000,201986252;000000,298651350;000000,590746721;000000,682843556;000000,287876457;000000,466854585
BER;;;;;000018,796992480;;;;;;;;
BLR;;;;;;;;;;000002,263779528;000002,198900550;000001,747173690;000003,148614610
BRA;000000,179326212;000000,146785755;000000,043853394;000000,019832536;000000,027008519;000000,073649923;000000,276221335;000000,192903271;000000,090102261;000000,387167444;000000,273058603;000000,214919308;000000,385070170
BUL;000000,889750506;000001,227846578;000003,106479483;000002,565238684;000004,452766932;000010,607643030;;000004,564966488;000001,990594092;000002,511112870;000001,591153773;000002,184763945;000000,667328568
BWI;000021,651207700;;;;;;;;;;;;
CAN;000000,502540369;000000,258732212;000000,482067104;000000,454677084;000000,850412450;;000003,346043109;000000,780814278;000001,542798799;000001,718797920;000001,007484636;000000,531333021;000001,022686403
CHI;;;;;;;;000007,236623102;;;000121,028744300;000026,114774430;000006,345701105
CHN;;;;;;;000000,073300702;000000,048110527;000000,071246470;000000,090345366;000000,062567072;000000,072526667;000000,138904092
CIV;;;;;;;000000,102363523;;;;;;
CMR;;;000000,155348083;;;;000000,099297184;;;;000001,130105747;000000,056600860;000000,051097529
COL;;;;000000,129607532;;;000000,032948840;000000,030325514;000000,028122526;;000000,024750050;000000,046811924;000000,044541783
CRC;;;;;;;;000000,339609313;;000000,278030090;000000,509495727;;
CRO;;;;;;;;;000003,355704698;000006,453048509;000002,259376412;000004,505519261;000001,127520798
CUB;;000000,128416703;000001,188590153;000002,437592372;000002,514598291;000002,033517038;;;000006,613402386;000005,202926929;000006,206829365;000005,426717957;000004,162887960
CZE;;;;;;;;;;000001,260271088;000000,877615281;000001,176805055;000000,674074878
