Edition;Sport;NOC;numberBronze;numberSilver;numberGold
1896;Aquatics;AUT;;1;1
1896;Aquatics;GRE;3;3;1
1896;Aquatics;HUN;;;2
1896;Athletics;AUS;;;2
1896;Athletics;FRA;1;1;
1896;Athletics;GBR;1;1;
1896;Athletics;GER;;1;
1896;Athletics;GRE;6;3;1
1896;Athletics;HUN;2;1;
1896;Athletics;USA;2;6;9
1896;Cycling;AUT;2;;1
1896;Cycling;FRA;1;1;4
1896;Cycling;GBR;1;1;
1896;Cycling;GER;;1;
1896;Cycling;GRE;;3;1
1896;Fencing;DEN;1;;
1896;Fencing;FRA;;2;1
1896;Fencing;GRE;1;1;2
1896;Gymnastics;GER;2;3;25
1896;Gymnastics;GRE;5;5;2
1896;Gymnastics;SUI;;2;1
1896;Shooting;DEN;2;1;
1896;Shooting;GRE;3;3;3
1896;Shooting;USA;;1;2
1896;Tennis;GBR;;;1
1896;Tennis;GRE;1;1;
1896;Tennis;HUN;1;;
1896;Tennis;ZZX;2;2;2
1896;Weightlifting;DEN;;1;1
1896;Weightlifting;GBR;;1;1
1896;Weightlifting;GRE;2;;
1896;Wrestling;GER;;;1
1896;Wrestling;GRE;1;1;
1900;Aquatics;AUS;;;2
1900;Aquatics;AUT;1;3;
1900;Aquatics;BEL;;7;
1900;Aquatics;DEN;1;;
1900;Aquatics;FRA;20;6;1
1900;Aquatics;GBR;1;;9
1900;Aquatics;GER;;;6
1900;Aquatics;HUN;1;2;
1900;Aquatics;NED;1;;
1900;Archery;BEL;1;2;3
1900;Archery;FRA;4;5;3
1900;Athletics;AUS;3;;
1900;Athletics;BOH;;1;
1900;Athletics;CAN;1;;1
1900;Athletics;DEN;1;;
1900;Athletics;FRA;2;8;1
1900;Athletics;GBR;2;3;3
1900;Athletics;HUN;1;;1
1900;Athletics;IND;;2;
1900;Athletics;NOR;1;;
1900;Athletics;SWE;1;;
1900;Athletics;USA;10;13;16
1900;Athletics;ZZX;;;5
1900;Basque Pelota;ESP;;;2
1900;Basque Pelota;FRA;;2;
1900;Cricket;FRA;;12;
1900;Cricket;GBR;;;12
1900;Croquet;FRA;2;2;4
1900;Cycling;FRA;1;2;2
1900;Cycling;USA;1;;
1900;Equestrian;BEL;1;1;2
1900;Equestrian;FRA;2;;1
1900;Equestrian;ITA;;1;1
1900;Fencing;AUT;2;;
1900;Fencing;CUB;;1;1
1900;Fencing;FRA;5;5;5
1900;Fencing;ITA;;1;1
1900;Football;BEL;11;;
1900;Football;FRA;;13;
1900;Football;GBR;;;11
1900;Golf;GBR;1;1;
1900;Golf;USA;1;1;2
1900;Gymnastics;FRA;1;1;1
1900;Polo;ZZX;4;4;4
1900;Rowing;BEL;;9;
1900;Rowing;FRA;3;8;6
1900;Rowing;GBR;1;;
1900;Rowing;GER;10;;5
1900;Rowing;NED;9;5;
1900;Rowing;USA;;;9
1900;Rowing;ZZX;;;3
1900;Rugby;FRA;;;17
1900;Rugby;GBR;;15;
1900;Rugby;GER;;15;
1900;Sailing;FRA;4;7;2
1900;Sailing;GBR;1;;7
1900;Sailing;GER;;4;
1900;Sailing;USA;1;;
1900;Shooting;BEL;2;;
1900;Shooting;DEN;;3;1
1900;Shooting;FRA;7;8;3
1900;Shooting;NED;5;;
