Edition,NOC,Medal,Vitorias por medalha
1896,AUS,Gold,2
1896,AUT,Bronze,2
1896,AUT,Gold,2
1896,AUT,Silver,1
1896,DEN,Bronze,3
1896,DEN,Gold,1
1896,DEN,Silver,2
1896,FRA,Bronze,2
1896,FRA,Gold,5
1896,FRA,Silver,4
1896,GBR,Bronze,2
1896,GBR,Gold,2
1896,GBR,Silver,3
1896,GER,Bronze,2
1896,GER,Gold,26
1896,GER,Silver,5
1896,GRE,Bronze,22
1896,GRE,Gold,10
1896,GRE,Silver,20
1896,HUN,Bronze,3
1896,HUN,Gold,2
1896,HUN,Silver,1
1896,SUI,Gold,1
1896,SUI,Silver,2
1896,USA,Bronze,2
1896,USA,Gold,11
1896,USA,Silver,7
1896,ZZX,Bronze,2
1896,ZZX,Gold,2
1896,ZZX,Silver,2
1900,AUS,Bronze,3
1900,AUS,Gold,2
1900,AUT,Bronze,3
1900,AUT,Silver,3
1900,BEL,Bronze,15
1900,BEL,Gold,5
1900,BEL,Silver,19
1900,BOH,Bronze,1
1900,BOH,Silver,1
1900,CAN,Bronze,1
1900,CAN,Gold,1
1900,CUB,Gold,1
1900,CUB,Silver,1
1900,DEN,Bronze,2
1900,DEN,Gold,1
1900,DEN,Silver,3
1900,ESP,Gold,2
1900,FRA,Bronze,53
1900,FRA,Gold,46
1900,FRA,Silver,86
1900,GBR,Bronze,10
1900,GBR,Gold,48
1900,GBR,Silver,20
1900,GER,Bronze,10
1900,GER,Gold,11
1900,GER,Silver,19
1900,HUN,Bronze,2
1900,HUN,Gold,1
1900,HUN,Silver,2
1900,IND,Silver,2
1900,ITA,Gold,2
1900,ITA,Silver,2
1900,NED,Bronze,15
1900,NED,Silver,5
1900,NOR,Bronze,3
1900,NOR,Silver,6
1900,SUI,Bronze,1
1900,SUI,Gold,13
1900,SUI,Silver,1
1900,SWE,Bronze,1
1900,USA,Bronze,14
1900,USA,Gold,27
1900,USA,Silver,14
1900,ZZX,Bronze,8
1900,ZZX,Gold,18
1900,ZZX,Silver,8
1904,AUT,Bronze,1
1904,CAN,Gold,26
1904,CAN,Silver,9
1904,CUB,Bronze,3
1904,CUB,Gold,4
1904,CUB,Silver,2
1904,GBR,Gold,1
1904,GBR,Silver,1
1904,GER,Bronze,5
1904,GER,Gold,4
1904,GER,Silver,4
1904,GRE,Bronze,1
1904,GRE,Gold,1
1904,HUN,Bronze,1
1904,HUN,Gold,2
1904,HUN,Silver,1
1904,SUI,Bronze,1
1904,SUI,Gold,1
1904,USA,Bronze,111
1904,USA,Gold,146
1904,USA,Silver,137
1904,ZZX,Gold,3
1904,ZZX,Silver,5
1908,ANZ,Bronze,2
1908,ANZ,Gold,15
1908,ANZ,Silver,2
1908,AUT,Bronze,1
1908,BEL,Bronze,6
1908,BEL,Gold,1
1908,BEL,Silver,24
1908,BOH,Bronze,5
1908,CAN,Bronze,26
1908,CAN,Gold,17
1908,CAN,Silver,8
1908,DEN,Bronze,3
1908,DEN,Silver,12
1908,FIN,Bronze,27
1908,FIN,Gold,1
1908,FIN,Silver,1
1908,FRA,Bronze,21
1908,FRA,Gold,9
1908,FRA,Silver,5
1908,GBR,Bronze,68
1908,GBR,Gold,144
1908,GBR,Silver,135
1908,GER,Bronze,7
1908,GER,Gold,4
1908,GER,Silver,11
1908,GRE,Silver,3
1908,HUN,Bronze,5
1908,HUN,Gold,6
1908,HUN,Silver,7
1908,ITA,Gold,2
1908,ITA,Silver,5
1908,NED,Bronze,11
1908,NOR,Bronze,3
1908,NOR,Gold,7
1908,NOR,Silver,34
1908,RSA,Gold,1
1908,RSA,Silver,1
1908,RU1,Gold,1
1908,RU1,Silver,2
1908,SWE,Bronze,11
1908,SWE,Gold,69
1908,SWE,Silver,18
1908,USA,Bronze,15
1908,USA,Gold,34
1908,USA,Silver,14
1912,ANZ,Bronze,3
1912,ANZ,Gold,5
1912,ANZ,Silver,2
1912,AUT,Bronze,5
1912,AUT,Silver,9
1912,BEL,Bronze,9
1912,BEL,Gold,9
1912,BEL,Silver,1
1912,CAN,Bronze,3
1912,CAN,Gold,3
1912,CAN,Silver,2
1912,DEN,Bronze,34
1912,DEN,Gold,5
1912,DEN,Silver,45
1912,FIN,Bronze,22
1912,FIN,Gold,9
1912,FIN,Silver,36
1912,FRA,Bronze,5
1912,FRA,Gold,10
1912,FRA,Silver,10
1912,GBR,Bronze,58
1912,GBR,Gold,44
1912,GBR,Silver,58
1912,GER,Bronze,23
1912,GER,Gold,10
1912,GER,Silver,19
1912,GRE,Bronze,1
1912,GRE,Gold,1
1912,HUN,Bronze,3
1912,HUN,Gold,10
1912,HUN,Silver,17
1912,ITA,Bronze,2
1912,ITA,Gold,18
1912,ITA,Silver,1
1912,NED,Bronze,22
1912,NOR,Bronze,29
1912,NOR,Gold,41
1912,NOR,Silver,6
1912,RSA,Gold,5
1912,RSA,Silver,2
1912,RU1,Bronze,9
1912,RU1,Silver,5
1912,SWE,Bronze,25
1912,SWE,Gold,86
1912,SWE,Silver,62
1912,USA,Bronze,31
1912,USA,Gold,45
1912,USA,Silver,25
1920,AUS,Bronze,1
1920,AUS,Silver,5
1920,BEL,Bronze,65
1920,BEL,Gold,57
1920,BEL,Silver,66
1920,BRA,Bronze,5
1920,BRA,Gold,1
1920,BRA,Silver,1
1920,CAN,Bronze,3
1920,CAN,Gold,10
1920,CAN,Silver,3
1920,DEN,Bronze,1
1920,DEN,Gold,30
1920,DEN,Silver,44
1920,ESP,Silver,24
1920,EST,Gold,1
1920,EST,Silver,2
1920,FIN,Bronze,17
1920,FIN,Gold,18
1920,FIN,Silver,14
1920,FRA,Bronze,55
1920,FRA,Gold,13
1920,FRA,Silver,73
1920,GBR,Bronze,17
1920,GBR,Gold,55
1920,GBR,Silver,35
1920,GRE,Silver,5
1920,ITA,Bronze,7
1920,ITA,Gold,68
1920,ITA,Silver,9
1920,JPN,Silver,3
1920,LUX,Silver,1
1920,NED,Bronze,24
1920,NED,Gold,14
1920,NED,Silver,10
1920,NOR,Bronze,27
1920,NOR,Gold,58
1920,NOR,Silver,56
1920,NZL,Bronze,1
1920,RSA,Bronze,6
1920,RSA,Gold,3
1920,RSA,Silver,12
1920,SUI,Bronze,21
1920,SUI,Gold,6
1920,SUI,Silver,2
1920,SWE,Bronze,57
1920,SWE,Gold,53
1920,SWE,Silver,36
1920,TCH,Bronze,10
1920,USA,Bronze,38
1920,USA,Gold,110
1920,USA,Silver,45
1924,ARG,Bronze,2
1924,ARG,Gold,6
1924,ARG,Silver,3
1924,AUS,Bronze,2
1924,AUS,Gold,3
1924,AUS,Silver,5
1924,AUT,Bronze,1
1924,AUT,Silver,3
1924,BEL,Bronze,6
1924,BEL,Gold,3
1924,BEL,Silver,29
1924,CAN,Bronze,1
1924,CAN,Silver,19
1924,DEN,Bronze,2
1924,DEN,Gold,2
1924,DEN,Silver,8
1924,EST,Bronze,4
1924,EST,Gold,1
1924,EST,Silver,1
1924,FIN,Bronze,15
1924,FIN,Gold,24
1924,FIN,Silver,13
1924,FRA,Bronze,20
1924,FRA,Gold,39
1924,FRA,Silver,63
1924,GBR,Bronze,20
1924,GBR,Gold,17
1924,GBR,Silver,29
1924,HAI,Bronze,7
1924,HUN,Bronze,8
1924,HUN,Gold,2
1924,HUN,Silver,10
1924,ITA,Bronze,21
1924,ITA,Gold,25
1924,ITA,Silver,5
1924,JPN,Bronze,1
1924,NED,Bronze,17
1924,NED,Gold,8
1924,NED,Silver,1
1924,NOR,Bronze,3
1924,NOR,Gold,16
1924,NOR,Silver,7
1924,NZL,Bronze,1
1924,POL,Bronze,1
1924,POL,Silver,4
1924,POR,Bronze,3
1924,ROU,Bronze,23
1924,RSA,Bronze,1
1924,RSA,Gold,1
1924,RSA,Silver,1
1924,SUI,Bronze,21
1924,SUI,Gold,13
1924,SUI,Silver,31
1924,SWE,Bronze,49
1924,SWE,Gold,6
1924,SWE,Silver,25
1924,TCH,Bronze,5
1924,TCH,Gold,1
1924,TCH,Silver,4
1924,URU,Gold,22
1924,USA,Bronze,51
1924,USA,Gold,110
1924,USA,Silver,37
1924,YUG,Gold,2
1928,ARG,Bronze,5
1928,ARG,Gold,3
1928,ARG,Silver,24
1928,AUS,Bronze,1
1928,AUS,Gold,1
1928,AUS,Silver,2
1928,AUT,Bronze,2
1928,AUT,Gold,2
1928,BEL,Bronze,4
1928,BEL,Silver,1
1928,CAN,Bronze,21
1928,CAN,Gold,7
1928,CAN,Silver,5
1928,CHI,Silver,1
1928,DEN,Bronze,3
1928,DEN,Gold,5
1928,DEN,Silver,5
1928,EGY,Bronze,1
1928,EGY,Gold,2
1928,EGY,Silver,1
1928,ESP,Gold,3
1928,EST,Bronze,6
1928,EST,Gold,2
1928,EST,Silver,1
