Sport,NOC,Vitorias por desporto
Aquatics,ANZ,11
Aquatics,ARG,3
Aquatics,AUS,354
Aquatics,AUT,15
Aquatics,BEL,53
Aquatics,BRA,17
Aquatics,BUL,3
Aquatics,CAN,112
Aquatics,CHN,118
Aquatics,CRC,4
Aquatics,CRO,14
Aquatics,CUB,2
Aquatics,DEN,17
Aquatics,EGY,2
Aquatics,ESP,41
Aquatics,EUA,31
Aquatics,EUN,45
Aquatics,FIN,4
Aquatics,FRA,89
Aquatics,FRG,62
Aquatics,GBR,138
Aquatics,GDR,144
Aquatics,GER,175
Aquatics,GRE,22
Aquatics,HUN,247
Aquatics,IRL,4
Aquatics,ITA,113
Aquatics,JPN,134
Aquatics,KOR,2
Aquatics,MEX,13
Aquatics,NED,134
Aquatics,NOR,2
Aquatics,NZL,6
Aquatics,PHI,2
Aquatics,POL,6
Aquatics,ROU,9
Aquatics,RSA,21
Aquatics,RUS,125
Aquatics,SCG,13
Aquatics,SLO,1
Aquatics,SRB,14
Aquatics,SUI,1
Aquatics,SUR,2
Aquatics,SVK,2
Aquatics,SWE,101
Aquatics,TCH,2
Aquatics,TRI,1
Aquatics,TUN,1
Aquatics,UKR,11
Aquatics,URS,190
Aquatics,USA,1096
Aquatics,VEN,1
Aquatics,YUG,91
Aquatics,ZIM,7
Archery,AUS,2
Archery,BEL,51
Archery,CHN,15
Archery,ESP,3
Archery,EUN,4
Archery,FIN,6
Archery,FRA,46
Archery,GBR,13
Archery,GER,6
Archery,INA,3
Archery,ITA,12
Archery,JPN,3
Archery,KOR,52
Archery,NED,9
Archery,POL,4
Archery,RUS,1
Archery,SWE,2
Archery,TPE,6
Archery,UKR,8
Archery,URS,7
Archery,USA,52
Athletics,ALG,6
Athletics,ANZ,1
Athletics,ARG,5
Athletics,AUS,81
Athletics,AUT,7
Athletics,BAH,19
Athletics,BAR,1
Athletics,BDI,1
Athletics,BEL,14
Athletics,BLR,19
Athletics,BOH,1
Athletics,BRA,21
Athletics,BUL,18
Athletics,BWI,5
Athletics,CAN,83
Athletics,CHI,2
Athletics,CHN,15
Athletics,CIV,1
Athletics,CMR,2
Athletics,COL,1
Athletics,CRO,1
Athletics,CUB,55
Athletics,CZE,8
Athletics,DEN,6
Athletics,DJI,1
Athletics,DOM,1
Athletics,ECU,2
Athletics,ERI,1
Athletics,ESP,11
Athletics,EST,5
Athletics,ETH,38
Athletics,EUA,42
Athletics,EUN,29
Athletics,FIN,127
Athletics,FRA,100
Athletics,FRG,67
Athletics,GBR,289
Athletics,GDR,139
Athletics,GER,99
Athletics,GRE,29
Athletics,HAI,1
Athletics,HUN,44
Athletics,IND,2
Athletics,IRL,6
Athletics,ISL,2
Athletics,ITA,71
Athletics,JAM,101
Athletics,JPN,25
Athletics,KAZ,2
Athletics,KEN,74
Athletics,KOR,2
Athletics,KSA,1
Athletics,LAT,5
Athletics,LTU,5
Athletics,LUX,1
Athletics,MAR,18
Athletics,MEX,10
Athletics,MOZ,2
Athletics,NAM,4
Athletics,NED,21
Athletics,NGR,40
Athletics,NOR,20
Athletics,NZL,19
Athletics,PAN,3
Athletics,PHI,2
Athletics,POL,67
Athletics,POR,10
Athletics,QAT,1
Athletics,ROU,35
Athletics,RSA,26
Athletics,RUS,83
Athletics,SEN,1
Athletics,SLO,3
Athletics,SRI,2
Athletics,SUD,1
Athletics,SUI,8
Athletics,SWE,103
Athletics,SYR,1
Athletics,TAN,2
Athletics,TCH,24
Athletics,TPE,2
Athletics,TRI,16
Athletics,TUN,4
Athletics,TUR,4
Athletics,UGA,2
Athletics,UKR,15
Athletics,URS,238
Athletics,USA,952
Athletics,VEN,1
Athletics,YUG,2
Athletics,ZAM,1
Athletics,ZZX,10
Badminton,CHN,47
Badminton,DEN,5
Badminton,GBR,4
Badminton,INA,26
Badminton,KOR,31
Badminton,MAS,6
Badminton,NED,1
Baseball,AUS,24
Baseball,CUB,111
Baseball,JPN,64
Baseball,KOR,48
Baseball,TPE,20
Baseball,USA,68
Basketball,ARG,24
Basketball,AUS,48
Basketball,BRA,60
Basketball,BUL,24
Basketball,CAN,9
Basketball,CHN,24
Basketball,CRO,12
Basketball,CUB,12
Basketball,ESP,24
Basketball,EUN,12
Basketball,FRA,26
Basketball,ITA,23
Basketball,KOR,12
Basketball,LTU,36
Basketball,MEX,11
Basketball,RUS,23
Basketball,URS,146
Basketball,URU,24
Basketball,USA,294
Basketball,YUG,96
Basque Pelota,ESP,2
Basque Pelota,FRA,2
Boxing,ALG,6
Boxing,ANZ,1
Boxing,ARG,24
Boxing,ARM,1
Boxing,AUS,4
Boxing,AZE,4
Boxing,BEL,4
Boxing,BER,1
Boxing,BLR,2
Boxing,BRA,1
Boxing,BUL,17
Boxing,CAN,17
Boxing,CHI,3
Boxing,CHN,5
Boxing,CMR,2
Boxing,COL,3
Boxing,CUB,63
Boxing,CZE,1
Boxing,DEN,12
Boxing,DOM,2
Boxing,EGY,4
Boxing,ESP,4
Boxing,EST,1
Boxing,EUA,6
Boxing,EUN,2
Boxing,FIN,14
Boxing,FRA,19
Boxing,FRG,6
Boxing,GBR,48
Boxing,GDR,13
Boxing,GEO,1
Boxing,GER,22
Boxing,GHA,3
Boxing,GUY,1
Boxing,HUN,20
Boxing,IND,1
Boxing,IRL,12
Boxing,ITA,44
Boxing,JPN,3
Boxing,KAZ,13
Boxing,KEN,7
Boxing,KOR,19
Boxing,MAR,3
Boxing,MDA,2
Boxing,MEX,12
Boxing,MGL,4
Boxing,MRI,1
Boxing,NED,6
Boxing,NGR,6
Boxing,NIG,1
Boxing,NOR,5
Boxing,NZL,3
Boxing,PAK,1
Boxing,PHI,5
Boxing,POL,43
Boxing,PRK,8
Boxing,PUR,6
Boxing,ROU,25
Boxing,RSA,19
Boxing,RUS,20
Boxing,SWE,11
Boxing,SYR,1
Boxing,TCH,6
Boxing,TGA,1
Boxing,THA,13
Boxing,TUN,2
Boxing,TUR,5
Boxing,UGA,4
Boxing,UKR,9
Boxing,URS,51
Boxing,URU,1
Boxing,USA,109
Boxing,UZB,6
Boxing,VEN,5
Boxing,YUG,11
Boxing,ZAM,1
Canoe / Kayak,AUS,33
Canoe / Kayak,AUT,21
Canoe / Kayak,BLR,10
Canoe / Kayak,BUL,28
Canoe / Kayak,CAN,30
Canoe / Kayak,CHN,4
Canoe / Kayak,CUB,5
Canoe / Kayak,CZE,13
Canoe / Kayak,DEN,21
Canoe / Kayak,ESP,16
Canoe / Kayak,EUA,22
Canoe / Kayak,EUN,3
Canoe / Kayak,FIN,14
Canoe / Kayak,FRA,47
