Edition,Sport,NOC,Medal
1896,Aquatics,HUN,Gold
1896,Aquatics,AUT,Silver
1896,Aquatics,GRE,Bronze
1896,Aquatics,GRE,Gold
1896,Aquatics,GRE,Silver
1896,Aquatics,GRE,Bronze
1896,Aquatics,HUN,Gold
1896,Aquatics,GRE,Silver
1896,Aquatics,GRE,Bronze
1896,Aquatics,AUT,Gold
1896,Aquatics,GRE,Silver
1896,Athletics,USA,Bronze
1896,Athletics,HUN,Bronze
1896,Athletics,USA,Gold
1896,Athletics,GER,Silver
1896,Athletics,USA,Gold
1896,Athletics,GBR,Silver
1896,Athletics,FRA,Bronze
1896,Athletics,AUS,Gold
1896,Athletics,USA,Silver
1896,Athletics,GBR,Bronze
1896,Athletics,USA,Gold
1896,Athletics,USA,Silver
1896,Athletics,GRE,Bronze
1896,Athletics,AUS,Gold
1896,Athletics,HUN,Silver
1896,Athletics,GRE,Bronze
1896,Athletics,USA,Gold
1896,Athletics,GRE,Silver
1896,Athletics,USA,Gold
1896,Athletics,USA,Silver
1896,Athletics,USA,Silver
1896,Athletics,USA,Bronze
1896,Athletics,USA,Gold
1896,Athletics,USA,Silver
1896,Athletics,HUN,Bronze
1896,Athletics,GRE,Gold
1896,Athletics,GRE,Silver
1896,Athletics,GRE,Bronze
1896,Athletics,GRE,Bronze
1896,Athletics,USA,Gold
1896,Athletics,USA,Silver
1896,Athletics,GRE,Bronze
1896,Athletics,USA,Gold
1896,Athletics,GRE,Silver
1896,Athletics,GRE,Bronze
1896,Athletics,USA,Gold
1896,Athletics,FRA,Silver
1896,Cycling,GBR,Bronze
1896,Cycling,GRE,Gold
1896,Cycling,GER,Silver
1896,Cycling,FRA,Gold
1896,Cycling,GRE,Silver
1896,Cycling,AUT,Bronze
1896,Cycling,FRA,Gold
1896,Cycling,FRA,Silver
1896,Cycling,AUT,Gold
1896,Cycling,GBR,Silver
1896,Cycling,AUT,Bronze
1896,Cycling,FRA,Gold
1896,Cycling,GRE,Silver
1896,Cycling,FRA,Bronze
1896,Cycling,FRA,Gold
1896,Cycling,GRE,Silver
1896,Fencing,GRE,Bronze
1896,Fencing,FRA,Gold
1896,Fencing,FRA,Silver
1896,Fencing,GRE,Gold
1896,Fencing,FRA,Silver
1896,Fencing,DEN,Bronze
1896,Fencing,GRE,Gold
1896,Fencing,GRE,Silver
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Silver
1896,Gymnastics,GER,Gold
1896,Gymnastics,SUI,Silver
1896,Gymnastics,SUI,Gold
1896,Gymnastics,GER,Silver
1896,Gymnastics,GRE,Bronze
1896,Gymnastics,GRE,Gold
1896,Gymnastics,GER,Silver
1896,Gymnastics,GER,Bronze
1896,Gymnastics,GRE,Gold
1896,Gymnastics,GRE,Silver
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GRE,Bronze
1896,Gymnastics,GRE,Bronze
1896,Gymnastics,GRE,Bronze
1896,Gymnastics,GRE,Bronze
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GER,Gold
1896,Gymnastics,GRE,Silver
1896,Gymnastics,GRE,Silver
1896,Gymnastics,GRE,Silver
1896,Gymnastics,GRE,Silver
1896,Gymnastics,GER,Bronze
1896,Gymnastics,GER,Gold
1896,Gymnastics,SUI,Silver
1896,Shooting,GRE,Bronze
1896,Shooting,USA,Gold
1896,Shooting,USA,Silver
1896,Shooting,DEN,Bronze
1896,Shooting,GRE,Gold
1896,Shooting,GRE,Silver
1896,Shooting,GRE,Bronze
1896,Shooting,USA,Gold
1896,Shooting,DEN,Silver
1896,Shooting,GRE,Bronze
1896,Shooting,GRE,Gold
1896,Shooting,GRE,Silver
1896,Shooting,DEN,Bronze
1896,Shooting,GRE,Gold
1896,Shooting,GRE,Silver
1896,Tennis,ZZX,Bronze
1896,Tennis,ZZX,Bronze
1896,Tennis,ZZX,Gold
1896,Tennis,ZZX,Gold
1896,Tennis,ZZX,Silver
1896,Tennis,ZZX,Silver
1896,Tennis,GRE,Bronze
1896,Tennis,HUN,Bronze
1896,Tennis,GBR,Gold
1896,Tennis,GRE,Silver
1896,Weightlifting,GRE,Bronze
1896,Weightlifting,GBR,Gold
1896,Weightlifting,DEN,Silver
1896,Weightlifting,GRE,Bronze
1896,Weightlifting,DEN,Gold
1896,Weightlifting,GBR,Silver
1896,Wrestling,GRE,Bronze
1896,Wrestling,GER,Gold
1896,Wrestling,GRE,Silver
1900,Aquatics,HUN,Bronze
1900,Aquatics,GBR,Gold
1900,Aquatics,AUT,Silver
1900,Aquatics,NED,Bronze
1900,Aquatics,GER,Gold
1900,Aquatics,AUT,Silver
1900,Aquatics,AUT,Bronze
1900,Aquatics,AUS,Gold
1900,Aquatics,HUN,Silver
1900,Aquatics,GBR,Bronze
1900,Aquatics,AUS,Gold
1900,Aquatics,AUT,Silver
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,GER,Gold
1900,Aquatics,GER,Gold
1900,Aquatics,GER,Gold
1900,Aquatics,GER,Gold
1900,Aquatics,GER,Gold
1900,Aquatics,FRA,Silver
1900,Aquatics,FRA,Silver
1900,Aquatics,FRA,Silver
1900,Aquatics,FRA,Silver
1900,Aquatics,FRA,Silver
1900,Aquatics,FRA,Bronze
1900,Aquatics,GBR,Gold
1900,Aquatics,HUN,Silver
1900,Aquatics,DEN,Bronze
1900,Aquatics,FRA,Gold
1900,Aquatics,FRA,Silver
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,FRA,Bronze
1900,Aquatics,GBR,Gold
1900,Aquatics,GBR,Gold
1900,Aquatics,GBR,Gold
1900,Aquatics,GBR,Gold
1900,Aquatics,GBR,Gold
1900,Aquatics,GBR,Gold
1900,Aquatics,GBR,Gold
1900,Aquatics,BEL,Silver
1900,Aquatics,BEL,Silver
1900,Aquatics,BEL,Silver
1900,Aquatics,BEL,Silver
1900,Aquatics,BEL,Silver
1900,Aquatics,BEL,Silver
1900,Aquatics,BEL,Silver
1900,Archery,FRA,Bronze
1900,Archery,BEL,Gold
1900,Archery,FRA,Silver
1900,Archery,FRA,Bronze
1900,Archery,FRA,Gold
1900,Archery,FRA,Silver
1900,Archery,FRA,Bronze
1900,Archery,BEL,Gold
1900,Archery,FRA,Silver
1900,Archery,FRA,Bronze
1900,Archery,FRA,Gold
1900,Archery,BEL,Silver
1900,Archery,BEL,Gold
1900,Archery,BEL,Silver
1900,Archery,FRA,Silver
1900,Archery,BEL,Bronze
1900,Archery,FRA,Gold
1900,Archery,FRA,Silver
1900,Athletics,AUS,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,USA,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,USA,Bronze
1900,Athletics,GBR,Gold
1900,Athletics,FRA,Silver
1900,Athletics,AUS,Bronze
1900,Athletics,USA,Gold
1900,Athletics,IND,Silver
1900,Athletics,USA,Bronze
1900,Athletics,USA,Gold
1900,Athletics,IND,Silver
1900,Athletics,FRA,Bronze
1900,Athletics,CAN,Gold
1900,Athletics,GBR,Silver
1900,Athletics,GBR,Bronze
1900,Athletics,GBR,Gold
1900,Athletics,GBR,Silver
1900,Athletics,DEN,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,CAN,Bronze
1900,Athletics,USA,Gold
1900,Athletics,FRA,Silver
1900,Athletics,ZZX,Gold
1900,Athletics,ZZX,Gold
1900,Athletics,ZZX,Gold
1900,Athletics,ZZX,Gold
1900,Athletics,ZZX,Gold
1900,Athletics,FRA,Silver
1900,Athletics,FRA,Silver
1900,Athletics,FRA,Silver
1900,Athletics,FRA,Silver
1900,Athletics,FRA,Silver
1900,Athletics,AUS,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,USA,Bronze
1900,Athletics,GBR,Gold
1900,Athletics,USA,Silver
1900,Athletics,USA,Bronze
1900,Athletics,HUN,Gold
1900,Athletics,BOH,Silver
1900,Athletics,USA,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,HUN,Bronze
1900,Athletics,USA,Gold
1900,Athletics,GBR,Silver
1900,Athletics,USA,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,GBR,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,FRA,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,SWE,Bronze
1900,Athletics,FRA,Gold
1900,Athletics,FRA,Silver
1900,Athletics,NOR,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,USA,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,USA,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Athletics,USA,Bronze
1900,Athletics,USA,Gold
1900,Athletics,USA,Silver
1900,Basque Pelota,ESP,Gold
1900,Basque Pelota,ESP,Gold
1900,Basque Pelota,FRA,Silver
1900,Basque Pelota,FRA,Silver
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,GBR,Gold
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Cricket,FRA,Silver
1900,Croquet,FRA,Gold
1900,Croquet,FRA,Gold
1900,Croquet,FRA,Bronze
1900,Croquet,FRA,Gold
1900,Croquet,FRA,Silver
1900,Croquet,FRA,Bronze
1900,Croquet,FRA,Gold
1900,Croquet,FRA,Silver
1900,Cycling,FRA,Bronze
1900,Cycling,FRA,Gold
1900,Cycling,FRA,Silver
1900,Cycling,USA,Bronze
1900,Cycling,FRA,Gold
1900,Cycling,FRA,Silver
1900,Equestrian,BEL,Bronze
1900,Equestrian,FRA,Gold
1900,Equestrian,ITA,Gold
1900,Equestrian,FRA,Bronze
1900,Equestrian,BEL,Gold
1900,Equestrian,BEL,Silver
1900,Equestrian,FRA,Bronze
1900,Equestrian,BEL,Gold
1900,Equestrian,ITA,Silver
1900,Fencing,FRA,Bronze
1900,Fencing,CUB,Gold
1900,Fencing,FRA,Silver
1900,Fencing,FRA,Bronze
1900,Fencing,FRA,Gold
1900,Fencing,CUB,Silver
1900,Fencing,FRA,Bronze
1900,Fencing,FRA,Gold
1900,Fencing,FRA,Silver
1900,Fencing,FRA,Bronze
1900,Fencing,FRA,Gold
1900,Fencing,FRA,Silver
1900,Fencing,FRA,Bronze
1900,Fencing,FRA,Gold
1900,Fencing,FRA,Silver
1900,Fencing,AUT,Bronze
1900,Fencing,FRA,Gold
1900,Fencing,FRA,Silver
1900,Fencing,AUT,Bronze
1900,Fencing,ITA,Gold
1900,Fencing,ITA,Silver
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,BEL,Bronze
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,GBR,Gold
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Football,FRA,Silver
1900,Golf,GBR,Bronze
1900,Golf,USA,Gold
1900,Golf,GBR,Silver
1900,Golf,USA,Bronze
1900,Golf,USA,Gold
1900,Golf,USA,Silver
1900,Gymnastics,FRA,Bronze
1900,Gymnastics,FRA,Gold
1900,Gymnastics,FRA,Silver
1900,Polo,ZZX,Bronze
1900,Polo,ZZX,Bronze
1900,Polo,ZZX,Bronze
1900,Polo,ZZX,Bronze
1900,Polo,ZZX,Gold
1900,Polo,ZZX,Gold
1900,Polo,ZZX,Gold
1900,Polo,ZZX,Gold
1900,Polo,ZZX,Silver
1900,Polo,ZZX,Silver
1900,Polo,ZZX,Silver
1900,Polo,ZZX,Silver
1900,Rowing,NED,Bronze
1900,Rowing,NED,Bronze
1900,Rowing,NED,Bronze
1900,Rowing,NED,Bronze
1900,Rowing,NED,Bronze
1900,Rowing,NED,Bronze
1900,Rowing,NED,Bronze
1900,Rowing,NED,Bronze
1900,Rowing,NED,Bronze
1900,Rowing,USA,Gold
1900,Rowing,USA,Gold
1900,Rowing,USA,Gold
1900,Rowing,USA,Gold
1900,Rowing,USA,Gold
1900,Rowing,USA,Gold
1900,Rowing,USA,Gold
1900,Rowing,USA,Gold
1900,Rowing,USA,Gold
1900,Rowing,BEL,Silver
1900,Rowing,BEL,Silver
