Season,Year,EditionCountry,AthleteId,Discipline,DisciplineCode,Event,EventBase,EventTeam,Athlete,Country,Result,Medal,Sex,CountryLatitude,CountryLongitude
Summer,1896,GRE,0,Cycling,CYC,2000m Sprint (Scratch) Men,2000m Sprint (Scratch) Men,,Paul Masson,FRA,4:58.2,GOLD,Man,46.0000,2.0000
Summer,1896,GRE,1,Cycling,CYC,2000m Sprint (Scratch) Men,2000m Sprint (Scratch) Men,,Stamatios Nikolopoulos,GRE,5:00.2,SILVER,Man,0,0
Summer,1896,GRE,2,Cycling,CYC,2000m Sprint (Scratch) Men,2000m Sprint (Scratch) Men,,Léon Flameng,FRA,,BRONZE,Man,46.0000,2.0000
Summer,1896,GRE,3,Cycling,CYC,Individual Road Race Men,Individual Road Race Men,,Aristides Konstantinides,GRE,3:21:10,GOLD,Man,0,0
Summer,1896,GRE,4,Cycling,CYC,Individual Road Race Men,Individual Road Race Men,,August Goedrich,DEU,3:34:14,SILVER,Man,51.0000,9.0000
Summer,1896,GRE,5,Cycling,CYC,Individual Road Race Men,Individual Road Race Men,,Edward Battell,GBR,,BRONZE,Man,54.0000,-2.0000
Summer,1896,GRE,0,Cycling,CYC,One-Lap Race,One-Lap Race,,Paul Masson,FRA,24.0,GOLD,,46.0000,2.0000
Summer,1896,GRE,1,Cycling,CYC,One-Lap Race,One-Lap Race,,Stamatios Nikolopoulos,GRE,26.0,SILVER,,0,0
Summer,1896,GRE,6,Cycling,CYC,One-Lap Race,One-Lap Race,,Adolf Schmal,AUT,26.0,BRONZE,,47.3333,13.3333
Summer,1896,GRE,0,Cycling,CYC,10km Track Race,10km Track Race,,Paul Masson,FRA,17:54.2,GOLD,,46.0000,2.0000
Summer,1896,GRE,2,Cycling,CYC,10km Track Race,10km Track Race,,Léon Flameng,FRA,17:54.8,SILVER,,46.0000,2.0000
Summer,1896,GRE,6,Cycling,CYC,10km Track Race,10km Track Race,,Adolf Schmal,AUT,,BRONZE,,47.3333,13.3333
Summer,1896,GRE,2,Cycling,CYC,100km Track Race,100km Track Race,,Léon Flameng,FRA,3:08:19,GOLD,,46.0000,2.0000
Summer,1896,GRE,7,Cycling,CYC,100km Track Race,100km Track Race,,Georgios Kolettis,GRE,,SILVER,,0,0
Summer,1896,GRE,6,Cycling,CYC,12-Hour Race,12-Hour Race,,Adolf Schmal,AUT,295.3,GOLD,,47.3333,13.3333
Summer,1896,GRE,8,Cycling,CYC,12-Hour Race,12-Hour Race,,Frank Keeping,GBR,294.946,SILVER,,54.0000,-2.0000
Summer,1896,GRE,9,Fencing,FEN,"Foil, Individual",Foil,Individual,Eugène-Henri Gravelotte,FRA,,GOLD,,46.0000,2.0000
Summer,1896,GRE,10,Fencing,FEN,"Foil, Individual",Foil,Individual,Henri Callot,FRA,,SILVER,,46.0000,2.0000
Summer,1896,GRE,11,Fencing,FEN,"Foil, Individual",Foil,Individual,Perikles Pierrakos-Mavromikhalis,GRE,,BRONZE,,0,0
Summer,1896,GRE,12,Fencing,FEN,"Sabre, Individual",Sabre,Individual,Ioannis Georgiadis,GRE,,GOLD,,0,0
Summer,1896,GRE,13,Fencing,FEN,"Sabre, Individual",Sabre,Individual,Telemachos Karakalos,GRE,,SILVER,,0,0
Summer,1896,GRE,14,Fencing,FEN,"Sabre, Individual",Sabre,Individual,Holger Nielsen,DEN,,BRONZE,,0,0
Summer,1896,GRE,15,Fencing,FEN,Masters Foil,Masters Foil,,Leon Pyrgos,GRE,,GOLD,,0,0
Summer,1896,GRE,16,Fencing,FEN,Masters Foil,Masters Foil,,Jean Perronnet,FRA,,SILVER,,46.0000,2.0000
Summer,1896,GRE,17,Gymnastics,GYM,Horizontal Bar,Horizontal Bar,,Hermann Weingärtner,DEU,,GOLD,,51.0000,9.0000
Summer,1896,GRE,18,Gymnastics,GYM,Horizontal Bar,Horizontal Bar,,Alfred Flatow,DEU,,SILVER,,51.0000,9.0000
Summer,1896,GRE,18,Gymnastics,GYM,Parallel Bars,Parallel Bars,,Alfred Flatow,DEU,,GOLD,,51.0000,9.0000
