Edition,Sport,NOC,Medal,vitoria por medalha,,
1896,Aquatics,AUT,Gold,1,,
1896,Aquatics,AUT,Silver,1,,
1896,Aquatics,GRE,Bronze,3,,
1896,Aquatics,GRE,Gold,1,,
1896,Aquatics,GRE,Silver,3,,
1896,Aquatics,HUN,Gold,2,,
1896,Athletics,AUS,Gold,2,,
1896,Athletics,FRA,Bronze,1,,
1896,Athletics,FRA,Silver,1,,
1896,Athletics,GBR,Bronze,1,,
1896,Athletics,GBR,Silver,1,,
1896,Athletics,GER,Silver,1,,
1896,Athletics,GRE,Bronze,6,,
1896,Athletics,GRE,Gold,1,,
1896,Athletics,GRE,Silver,3,,
1896,Athletics,HUN,Bronze,2,,
1896,Athletics,HUN,Silver,1,,
1896,Athletics,USA,Bronze,2,,
1896,Athletics,USA,Gold,9,,
1896,Athletics,USA,Silver,6,,
1896,Cycling,AUT,Bronze,2,,
1896,Cycling,AUT,Gold,1,,
1896,Cycling,FRA,Bronze,1,,
1896,Cycling,FRA,Gold,4,,
1896,Cycling,FRA,Silver,1,,
1896,Cycling,GBR,Bronze,1,,
1896,Cycling,GBR,Silver,1,,
1896,Cycling,GER,Silver,1,,
1896,Cycling,GRE,Gold,1,,
1896,Cycling,GRE,Silver,3,,
1896,Fencing,DEN,Bronze,1,,
1896,Fencing,FRA,Gold,1,,
1896,Fencing,FRA,Silver,2,,
1896,Fencing,GRE,Bronze,1,,
1896,Fencing,GRE,Gold,2,,
1896,Fencing,GRE,Silver,1,,
1896,Gymnastics,GER,Bronze,2,,
1896,Gymnastics,GER,Gold,25,,
1896,Gymnastics,GER,Silver,3,,
1896,Gymnastics,GRE,Bronze,5,,
1896,Gymnastics,GRE,Gold,2,,
1896,Gymnastics,GRE,Silver,5,,
1896,Gymnastics,SUI,Gold,1,,
1896,Gymnastics,SUI,Silver,2,,
1896,Shooting,DEN,Bronze,2,,
1896,Shooting,DEN,Silver,1,,
1896,Shooting,GRE,Bronze,3,,
1896,Shooting,GRE,Gold,3,,
1896,Shooting,GRE,Silver,3,,
1896,Shooting,USA,Gold,2,,
1896,Shooting,USA,Silver,1,,
1896,Tennis,GBR,Gold,1,,
1896,Tennis,GRE,Bronze,1,,
1896,Tennis,GRE,Silver,1,,
1896,Tennis,HUN,Bronze,1,,
1896,Tennis,ZZX,Bronze,2,,
1896,Tennis,ZZX,Gold,2,,
1896,Tennis,ZZX,Silver,2,,
1896,Weightlifting,DEN,Gold,1,,
1896,Weightlifting,DEN,Silver,1,,
1896,Weightlifting,GBR,Gold,1,,
1896,Weightlifting,GBR,Silver,1,,
1896,Weightlifting,GRE,Bronze,2,,
1896,Wrestling,GER,Gold,1,,
1896,Wrestling,GRE,Bronze,1,,
1896,Wrestling,GRE,Silver,1,,
1900,Aquatics,AUS,Gold,2,,
1900,Aquatics,AUT,Bronze,1,,
1900,Aquatics,AUT,Silver,3,,
1900,Aquatics,BEL,Silver,7,,
1900,Aquatics,DEN,Bronze,1,,
1900,Aquatics,FRA,Bronze,20,,
1900,Aquatics,FRA,Gold,1,,
1900,Aquatics,FRA,Silver,6,,
1900,Aquatics,GBR,Bronze,1,,
1900,Aquatics,GBR,Gold,9,,
1900,Aquatics,GER,Gold,6,,
1900,Aquatics,HUN,Bronze,1,,
1900,Aquatics,HUN,Silver,2,,
1900,Aquatics,NED,Bronze,1,,
1900,Archery,BEL,Bronze,1,,
1900,Archery,BEL,Gold,3,,
1900,Archery,BEL,Silver,2,,
1900,Archery,FRA,Bronze,4,,
1900,Archery,FRA,Gold,3,,
1900,Archery,FRA,Silver,5,,
1900,Athletics,AUS,Bronze,3,,
1900,Athletics,BOH,Silver,1,,
1900,Athletics,CAN,Bronze,1,,
1900,Athletics,CAN,Gold,1,,
1900,Athletics,DEN,Bronze,1,,
1900,Athletics,FRA,Bronze,2,,
1900,Athletics,FRA,Gold,1,,
1900,Athletics,FRA,Silver,8,,
1900,Athletics,GBR,Bronze,2,,
1900,Athletics,GBR,Gold,3,,
1900,Athletics,GBR,Silver,3,,
1900,Athletics,HUN,Bronze,1,,
1900,Athletics,HUN,Gold,1,,
1900,Athletics,IND,Silver,2,,
1900,Athletics,NOR,Bronze,1,,
1900,Athletics,SWE,Bronze,1,,
1900,Athletics,USA,Bronze,10,,
1900,Athletics,USA,Gold,16,,
1900,Athletics,USA,Silver,13,,
1900,Athletics,ZZX,Gold,5,,
1900,Basque Pelota,ESP,Gold,2,,
1900,Basque Pelota,FRA,Silver,2,,
1900,Cricket,FRA,Silver,12,,
1900,Cricket,GBR,Gold,12,,
