Sport,NOC,Medal,vitorias por medalha,
Aquatics,ANZ,Bronze,3,
Aquatics,ANZ,Gold,5,
Aquatics,ANZ,Silver,3,
Aquatics,ARG,Bronze,1,
Aquatics,ARG,Gold,1,
Aquatics,ARG,Silver,1,
Aquatics,AUS,Bronze,119,
Aquatics,AUS,Gold,114,
Aquatics,AUS,Silver,121,
Aquatics,AUT,Bronze,8,
Aquatics,AUT,Gold,1,
Aquatics,AUT,Silver,6,
Aquatics,BEL,Bronze,18,
Aquatics,BEL,Gold,1,
Aquatics,BEL,Silver,34,
Aquatics,BRA,Bronze,13,
Aquatics,BRA,Gold,1,
Aquatics,BRA,Silver,3,
Aquatics,BUL,Bronze,1,
Aquatics,BUL,Gold,1,
Aquatics,BUL,Silver,1,
Aquatics,CAN,Bronze,58,
Aquatics,CAN,Gold,12,
Aquatics,CAN,Silver,42,
Aquatics,CHN,Bronze,29,
Aquatics,CHN,Gold,43,
Aquatics,CHN,Silver,46,
Aquatics,CRC,Bronze,2,
Aquatics,CRC,Gold,1,
Aquatics,CRC,Silver,1,
Aquatics,CRO,Silver,14,
Aquatics,CUB,Bronze,1,
Aquatics,CUB,Silver,1,
Aquatics,DEN,Bronze,6,
Aquatics,DEN,Gold,3,
Aquatics,DEN,Silver,8,
Aquatics,EGY,Bronze,1,
Aquatics,EGY,Silver,1,
Aquatics,ESP,Bronze,3,
Aquatics,ESP,Gold,14,
Aquatics,ESP,Silver,24,
Aquatics,EUA,Bronze,12,
Aquatics,EUA,Gold,4,
Aquatics,EUA,Silver,15,
Aquatics,EUN,Bronze,18,
Aquatics,EUN,Gold,11,
Aquatics,EUN,Silver,16,
Aquatics,FIN,Bronze,3,
Aquatics,FIN,Silver,1,
Aquatics,FRA,Bronze,53,
Aquatics,FRA,Gold,15,
Aquatics,FRA,Silver,21,
Aquatics,FRG,Bronze,45,
Aquatics,FRG,Gold,3,
Aquatics,FRG,Silver,14,
Aquatics,GBR,Bronze,50,
Aquatics,GBR,Gold,49,
Aquatics,GBR,Silver,39,
Aquatics,GDR,Bronze,31,
Aquatics,GDR,Gold,55,
Aquatics,GDR,Silver,58,
Aquatics,GER,Bronze,80,
Aquatics,GER,Gold,27,
Aquatics,GER,Silver,68,
Aquatics,GRE,Bronze,3,
Aquatics,GRE,Gold,3,
Aquatics,GRE,Silver,16,
Aquatics,HUN,Bronze,57,
Aquatics,HUN,Gold,133,
Aquatics,HUN,Silver,57,
Aquatics,IRL,Bronze,1,
Aquatics,IRL,Gold,3,
Aquatics,ITA,Bronze,40,
Aquatics,ITA,Gold,54,
Aquatics,ITA,Silver,19,
Aquatics,JPN,Bronze,57,
Aquatics,JPN,Gold,26,
Aquatics,JPN,Silver,51,
Aquatics,KOR,Gold,1,
Aquatics,KOR,Silver,1,
Aquatics,MEX,Bronze,7,
Aquatics,MEX,Gold,2,
Aquatics,MEX,Silver,4,
Aquatics,NED,Bronze,55,
Aquatics,NED,Gold,39,
Aquatics,NED,Silver,40,
Aquatics,NOR,Bronze,1,
Aquatics,NOR,Silver,1,
Aquatics,NZL,Bronze,3,
Aquatics,NZL,Gold,2,
Aquatics,NZL,Silver,1,
Aquatics,PHI,Bronze,2,
Aquatics,POL,Bronze,2,
Aquatics,POL,Gold,1,
Aquatics,POL,Silver,3,
Aquatics,ROU,Bronze,4,
Aquatics,ROU,Gold,3,
Aquatics,ROU,Silver,2,
Aquatics,RSA,Bronze,12,
Aquatics,RSA,Gold,7,
Aquatics,RSA,Silver,2,
Aquatics,RUS,Bronze,38,
Aquatics,RUS,Gold,42,
Aquatics,RUS,Silver,45,
Aquatics,SCG,Silver,13,
Aquatics,SLO,Silver,1,
Aquatics,SRB,Bronze,13,
Aquatics,SRB,Silver,1,
Aquatics,SUI,Bronze,1,
Aquatics,SUR,Bronze,1,
Aquatics,SUR,Gold,1,
Aquatics,SVK,Silver,2,
Aquatics,SWE,Bronze,49,
Aquatics,SWE,Gold,14,
Aquatics,SWE,Silver,38,
Aquatics,TCH,Gold,1,
Aquatics,TCH,Silver,1,
Aquatics,TRI,Bronze,1,
Aquatics,TUN,Gold,1,
Aquatics,UKR,Bronze,5,
Aquatics,UKR,Gold,4,
Aquatics,UKR,Silver,2,
Aquatics,URS,Bronze,87,
Aquatics,URS,Gold,41,
Aquatics,URS,Silver,62,
Aquatics,USA,Bronze,247,
Aquatics,USA,Gold,523,
Aquatics,USA,Silver,326,
Aquatics,VEN,Bronze,1,
Aquatics,YUG,Bronze,13,
Aquatics,YUG,Gold,38,
Aquatics,YUG,Silver,40,
Aquatics,ZIM,Bronze,1,
Aquatics,ZIM,Gold,2,
Aquatics,ZIM,Silver,4,
Archery,AUS,Bronze,1,
Archery,AUS,Gold,1,
Archery,BEL,Bronze,3,
Archery,BEL,Gold,35,
Archery,BEL,Silver,13,
Archery,CHN,Bronze,3,
Archery,CHN,Gold,1,
Archery,CHN,Silver,11,
Archery,ESP,Gold,3,
Archery,EUN,Bronze,4,
Archery,FIN,Bronze,2,
Archery,FIN,Gold,1,
Archery,FIN,Silver,3,
Archery,FRA,Bronze,16,
Archery,FRA,Gold,6,
Archery,FRA,Silver,24,
Archery,GBR,Bronze,9,
Archery,GBR,Gold,2,
Archery,GBR,Silver,2,
Archery,GER,Bronze,3,
Archery,GER,Silver,3,
Archery,INA,Silver,3,
Archery,ITA,Bronze,5,
Archery,ITA,Gold,1,
Archery,ITA,Silver,6,
Archery,JPN,Bronze,1,
Archery,JPN,Silver,2,
Archery,KOR,Bronze,5,
Archery,KOR,Gold,36,
Archery,KOR,Silver,11,
Archery,NED,Bronze,1,
Archery,NED,Gold,8,
Archery,POL,Bronze,3,
Archery,POL,Silver,1,
Archery,RUS,Bronze,1,
Archery,SWE,Silver,2,
Archery,TPE,Bronze,3,
Archery,TPE,Silver,3,
Archery,UKR,Bronze,4,
Archery,UKR,Gold,1,
Archery,UKR,Silver,3,
Archery,URS,Bronze,3,
Archery,URS,Gold,1,
Archery,URS,Silver,3,
Archery,USA,Bronze,15,
Archery,USA,Gold,22,
Archery,USA,Silver,15,
Athletics,ALG,Bronze,2,
Athletics,ALG,Gold,3,
Athletics,ALG,Silver,1,
Athletics,ANZ,Bronze,1,
Athletics,ARG,Gold,2,
Athletics,ARG,Silver,3,
Athletics,AUS,Bronze,25,
Athletics,AUS,Gold,22,
Athletics,AUS,Silver,34,
Athletics,AUT,Bronze,4,
Athletics,AUT,Gold,1,
Athletics,AUT,Silver,2,
Athletics,BAH,Bronze,3,
Athletics,BAH,Gold,7,
Athletics,BAH,Silver,9,
Athletics,BAR,Bronze,1,
Athletics,BDI,Gold,1,
Athletics,BEL,Bronze,2,
Athletics,BEL,Gold,3,
Athletics,BEL,Silver,9,
Athletics,BLR,Bronze,9,
Athletics,BLR,Gold,4,
Athletics,BLR,Silver,6,
Athletics,BOH,Silver,1,
Athletics,BRA,Bronze,10,
Athletics,BRA,Gold,4,
Athletics,BRA,Silver,7,
Athletics,BUL,Bronze,6,
Athletics,BUL,Gold,5,
Athletics,BUL,Silver,7,
Athletics,BWI,Bronze,5,
Athletics,CAN,Bronze,40,
Athletics,CAN,Gold,20,
Athletics,CAN,Silver,23,
Athletics,CHI,Silver,2,
Athletics,CHN,Bronze,7,
Athletics,CHN,Gold,5,
Athletics,CHN,Silver,3,
Athletics,CIV,Silver,1,
Athletics,CMR,Gold,2,
Athletics,COL,Bronze,1,
Athletics,CRO,Silver,1,
Athletics,CUB,Bronze,23,
Athletics,CUB,Gold,10,
Athletics,CUB,Silver,22,
Athletics,CZE,Bronze,3,
Athletics,CZE,Gold,4,
Athletics,CZE,Silver,1,
Athletics,DEN,Bronze,4,
Athletics,DEN,Silver,2,
Athletics,DJI,Bronze,1,
Athletics,DOM,Gold,1,
Athletics,ECU,Gold,1,
Athletics,ECU,Silver,1,
Athletics,ERI,Bronze,1,
Athletics,ESP,Bronze,5,
Athletics,ESP,Gold,2,
Athletics,ESP,Silver,4,
Athletics,EST,Bronze,2,
Athletics,EST,Gold,2,
Athletics,EST,Silver,1,
Athletics,ETH,Bronze,14,
Athletics,ETH,Gold,18,
Athletics,ETH,Silver,6,
Athletics,EUA,Bronze,11,
Athletics,EUA,Gold,7,
Athletics,EUA,Silver,24,
Athletics,EUN,Bronze,3,
Athletics,EUN,Gold,12,
Athletics,EUN,Silver,14,
Athletics,FIN,Bronze,30,
Athletics,FIN,Gold,60,
Athletics,FIN,Silver,37,
Athletics,FRA,Bronze,53,
Athletics,FRA,Gold,13,
Athletics,FRA,Silver,34,
Athletics,FRG,Bronze,35,
Athletics,FRG,Gold,15,
Athletics,FRG,Silver,17,
Athletics,GBR,Bronze,108,
Athletics,GBR,Gold,63,
Athletics,GBR,Silver,118,
Athletics,GDR,Bronze,38,
Athletics,GDR,Gold,50,
Athletics,GDR,Silver,51,
Athletics,GER,Bronze,49,
Athletics,GER,Gold,15,
Athletics,GER,Silver,35,
Athletics,GRE,Bronze,11,
Athletics,GRE,Gold,6,
Athletics,GRE,Silver,12,
Athletics,HAI,Silver,1,
Athletics,HUN,Bronze,23,
Athletics,HUN,Gold,9,
Athletics,HUN,Silver,12,
Athletics,IND,Silver,2,
Athletics,IRL,Gold,4,
Athletics,IRL,Silver,2,
Athletics,ISL,Bronze,1,
Athletics,ISL,Silver,1,
Athletics,ITA,Bronze,34,
Athletics,ITA,Gold,19,
Athletics,ITA,Silver,18,
Athletics,JAM,Bronze,38,
Athletics,JAM,Gold,23,
Athletics,JAM,Silver,40,
Athletics,JPN,Bronze,11,
Athletics,JPN,Gold,7,
Athletics,JPN,Silver,7,
Athletics,KAZ,Bronze,1,
Athletics,KAZ,Gold,1,
Athletics,KEN,Bronze,19,
Athletics,KEN,Gold,25,
Athletics,KEN,Silver,30,
Athletics,KOR,Gold,1,
Athletics,KOR,Silver,1,
Athletics,KSA,Silver,1,
Athletics,LAT,Bronze,1,
Athletics,LAT,Silver,4,
Athletics,LTU,Bronze,1,
Athletics,LTU,Gold,3,
Athletics,LTU,Silver,1,
Athletics,LUX,Gold,1,
Athletics,MAR,Bronze,7,
Athletics,MAR,Gold,6,
Athletics,MAR,Silver,5,
Athletics,MEX,Bronze,2,
Athletics,MEX,Gold,3,
Athletics,MEX,Silver,5,
Athletics,MOZ,Bronze,1,
Athletics,MOZ,Gold,1,
Athletics,NAM,Silver,4,
Athletics,NED,Bronze,9,
Athletics,NED,Gold,9,
Athletics,NED,Silver,3,
Athletics,NGR,Bronze,23,
Athletics,NGR,Gold,1,
Athletics,NGR,Silver,16,
Athletics,NOR,Bronze,8,
Athletics,NOR,Gold,7,
Athletics,NOR,Silver,5,
Athletics,NZL,Bronze,8,
Athletics,NZL,Gold,9,
Athletics,NZL,Silver,2,
Athletics,PAN,Bronze,2,
Athletics,PAN,Gold,1,
Athletics,PHI,Bronze,2,
Athletics,POL,Bronze,16,
Athletics,POL,Gold,25,
Athletics,POL,Silver,26,
Athletics,POR,Bronze,4,
Athletics,POR,Gold,4,
Athletics,POR,Silver,2,
Athletics,QAT,Bronze,1,
Athletics,ROU,Bronze,10,
Athletics,ROU,Gold,11,
Athletics,ROU,Silver,14,
Athletics,RSA,Bronze,6,
Athletics,RSA,Gold,6,
Athletics,RSA,Silver,14,
Athletics,RUS,Bronze,29,
Athletics,RUS,Gold,21,
Athletics,RUS,Silver,33,
Athletics,SEN,Silver,1,
Athletics,SLO,Bronze,1,
Athletics,SLO,Gold,1,
Athletics,SLO,Silver,1,
Athletics,SRI,Silver,2,
Athletics,SUD,Silver,1,
Athletics,SUI,Bronze,2,
Athletics,SUI,Silver,6,
Athletics,SWE,Bronze,51,
Athletics,SWE,Gold,21,
Athletics,SWE,Silver,31,
Athletics,SYR,Gold,1,
Athletics,TAN,Silver,2,
Athletics,TCH,Bronze,5,
Athletics,TCH,Gold,11,
Athletics,TCH,Silver,8,
Athletics,TPE,Bronze,1,
Athletics,TPE,Silver,1,
Athletics,TRI,Bronze,8,
Athletics,TRI,Gold,1,
Athletics,TRI,Silver,7,
Athletics,TUN,Bronze,1,
Athletics,TUN,Gold,1,
Athletics,TUN,Silver,2,
Athletics,TUR,Bronze,2,
Athletics,TUR,Silver,2,
Athletics,UGA,Bronze,1,
Athletics,UGA,Gold,1,
Athletics,UKR,Bronze,10,
Athletics,UKR,Gold,3,
Athletics,UKR,Silver,2,
Athletics,URS,Bronze,89,
Athletics,URS,Gold,79,
Athletics,URS,Silver,70,
Athletics,USA,Bronze,201,
Athletics,USA,Gold,472,
Athletics,USA,Silver,279,
Athletics,VEN,Bronze,1,
Athletics,YUG,Silver,2,
Athletics,ZAM,Silver,1,
Athletics,ZZX,Gold,5,
Athletics,ZZX,Silver,5,
Badminton,CHN,Bronze,20,
Badminton,CHN,Gold,17,
Badminton,CHN,Silver,10,
Badminton,DEN,Bronze,3,
Badminton,DEN,Gold,1,
Badminton,DEN,Silver,1,
Badminton,GBR,Bronze,2,
Badminton,GBR,Silver,2,
Badminton,INA,Bronze,8,
Badminton,INA,Gold,9,
Badminton,INA,Silver,9,
Badminton,KOR,Bronze,8,
Badminton,KOR,Gold,11,
Badminton,KOR,Silver,12,
Badminton,MAS,Bronze,3,
Badminton,MAS,Silver,3,
Badminton,NED,Silver,1,
Baseball,AUS,Silver,24,
Baseball,CUB,Gold,63,
Baseball,CUB,Silver,48,
Baseball,JPN,Bronze,44,
Baseball,JPN,Silver,20,
Baseball,KOR,Bronze,24,
Baseball,KOR,Gold,24,
Baseball,TPE,Silver,20,
Baseball,USA,Bronze,44,
Baseball,USA,Gold,24,
Basketball,ARG,Bronze,12,
Basketball,ARG,Gold,12,
Basketball,AUS,Bronze,12,
Basketball,AUS,Silver,36,
Basketball,BRA,Bronze,48,
Basketball,BRA,Silver,12,
Basketball,BUL,Bronze,12,
Basketball,BUL,Silver,12,
Basketball,CAN,Silver,9,
Basketball,CHN,Bronze,12,
Basketball,CHN,Silver,12,
Basketball,CRO,Silver,12,
Basketball,CUB,Bronze,12,
Basketball,ESP,Silver,24,
Basketball,EUN,Gold,12,
Basketball,FRA,Silver,26,
Basketball,ITA,Silver,23,
Basketball,KOR,Silver,12,
Basketball,LTU,Bronze,36,
Basketball,MEX,Bronze,11,
Basketball,RUS,Bronze,23,
Basketball,URS,Bronze,48,
Basketball,URS,Gold,48,
Basketball,URS,Silver,50,
Basketball,URU,Bronze,24,
Basketball,USA,Bronze,36,
Basketball,USA,Gold,234,
Basketball,USA,Silver,24,
Basketball,YUG,Bronze,24,
Basketball,YUG,Gold,12,
Basketball,YUG,Silver,60,
Basque Pelota,ESP,Gold,2,
Basque Pelota,FRA,Silver,2,
Boxing,ALG,Bronze,5,
Boxing,ALG,Gold,1,
Boxing,ANZ,Silver,1,
Boxing,ARG,Bronze,10,
Boxing,ARG,Gold,7,
Boxing,ARG,Silver,7,
Boxing,ARM,Bronze,1,
Boxing,AUS,Bronze,3,
