Edition,Sport,NOC,vitorias por desporto por ano,,
1896,Aquatics,AUT,2,,
1896,Aquatics,GRE,7,,
1896,Aquatics,HUN,2,,
1896,Athletics,AUS,2,,
1896,Athletics,FRA,2,,
1896,Athletics,GBR,2,,
1896,Athletics,GER,1,,
1896,Athletics,GRE,10,,
1896,Athletics,HUN,3,,
1896,Athletics,USA,17,,
1896,Cycling,AUT,3,,
1896,Cycling,FRA,6,,
1896,Cycling,GBR,2,,
1896,Cycling,GER,1,,
1896,Cycling,GRE,4,,
1896,Fencing,DEN,1,,
1896,Fencing,FRA,3,,
1896,Fencing,GRE,4,,
1896,Gymnastics,GER,30,,
1896,Gymnastics,GRE,12,,
1896,Gymnastics,SUI,3,,
1896,Shooting,DEN,3,,
1896,Shooting,GRE,9,,
1896,Shooting,USA,3,,
1896,Tennis,GBR,1,,
1896,Tennis,GRE,2,,
1896,Tennis,HUN,1,,
1896,Tennis,ZZX,6,,
1896,Weightlifting,DEN,2,,
1896,Weightlifting,GBR,2,,
1896,Weightlifting,GRE,2,,
1896,Wrestling,GER,1,,
1896,Wrestling,GRE,2,,
1900,Aquatics,AUS,2,,
1900,Aquatics,AUT,4,,
1900,Aquatics,BEL,7,,
1900,Aquatics,DEN,1,,
1900,Aquatics,FRA,27,,
1900,Aquatics,GBR,10,,
1900,Aquatics,GER,6,,
1900,Aquatics,HUN,3,,
1900,Aquatics,NED,1,,
1900,Archery,BEL,6,,
1900,Archery,FRA,12,,
1900,Athletics,AUS,3,,
1900,Athletics,BOH,1,,
1900,Athletics,CAN,2,,
1900,Athletics,DEN,1,,
1900,Athletics,FRA,11,,
1900,Athletics,GBR,8,,
1900,Athletics,HUN,2,,
1900,Athletics,IND,2,,
1900,Athletics,NOR,1,,
1900,Athletics,SWE,1,,
1900,Athletics,USA,39,,
1900,Athletics,ZZX,5,,
1900,Basque Pelota,ESP,2,,
1900,Basque Pelota,FRA,2,,
1900,Cricket,FRA,12,,
1900,Cricket,GBR,12,,
1900,Croquet,FRA,8,,
1900,Cycling,FRA,5,,
1900,Cycling,USA,1,,
1900,Equestrian,BEL,4,,
1900,Equestrian,FRA,3,,
1900,Equestrian,ITA,2,,
1900,Fencing,AUT,2,,
1900,Fencing,CUB,2,,
1900,Fencing,FRA,15,,
1900,Fencing,ITA,2,,
1900,Football,BEL,11,,
1900,Football,FRA,13,,
1900,Football,GBR,11,,
1900,Golf,GBR,2,,
1900,Golf,USA,4,,
1900,Gymnastics,FRA,3,,
1900,Polo,ZZX,12,,
1900,Rowing,BEL,9,,
1900,Rowing,FRA,17,,
1900,Rowing,GBR,1,,
1900,Rowing,GER,15,,
1900,Rowing,NED,14,,
1900,Rowing,USA,9,,
1900,Rowing,ZZX,3,,
1900,Rugby,FRA,17,,
1900,Rugby,GBR,15,,
1900,Rugby,GER,15,,
1900,Sailing,FRA,13,,
1900,Sailing,GBR,8,,
1900,Sailing,GER,4,,
1900,Sailing,USA,1,,
1900,Shooting,BEL,2,,
1900,Shooting,DEN,4,,
1900,Shooting,FRA,18,,
1900,Shooting,NED,5,,
1900,Shooting,NOR,8,,
1900,Shooting,SUI,15,,
1900,Tennis,BOH,1,,
1900,Tennis,FRA,3,,
1900,Tennis,GBR,11,,
1900,Tennis,USA,1,,
1900,Tennis,ZZX,8,,
1900,Tug of War,FRA,6,,
1900,Tug of War,ZZX,6,,
1904,Aquatics,AUT,1,,
1904,Aquatics,GER,10,,
1904,Aquatics,HUN,4,,
1904,Aquatics,USA,28,,
1904,Archery,USA,30,,
1904,Athletics,CAN,1,,
1904,Athletics,GBR,2,,
1904,Athletics,GER,1,,
1904,Athletics,GRE,1,,
1904,Athletics,USA,72,,
1904,Athletics,ZZX,5,,
1904,Boxing,USA,19,,
1904,Cycling,USA,21,,
1904,Fencing,CUB,9,,
1904,Fencing,USA,6,,
1904,Fencing,ZZX,3,,
1904,Football,CAN,11,,
1904,Football,USA,46,,
1904,Golf,CAN,1,,
1904,Golf,USA,23,,
1904,Gymnastics,GER,2,,
1904,Gymnastics,SUI,2,,
1904,Gymnastics,USA,44,,
1904,Lacrosse,CAN,13,,
1904,Lacrosse,USA,13,,
1904,Roque,USA,3,,
1904,Rowing,CAN,9,,
1904,Rowing,USA,36,,
1904,Tennis,USA,12,,
1904,Tug of War,USA,15,,
1904,Weightlifting,GRE,1,,
1904,Weightlifting,USA,5,,
1904,Wrestling,USA,21,,
1908,Aquatics,ANZ,2,,
1908,Aquatics,AUT,1,,
1908,Aquatics,BEL,7,,
1908,Aquatics,DEN,1,,
1908,Aquatics,GBR,17,,
1908,Aquatics,GER,4,,
1908,Aquatics,HUN,5,,
1908,Aquatics,SWE,5,,
1908,Aquatics,USA,6,,
1908,Archery,FRA,3,,
1908,Archery,GBR,5,,
1908,Archery,USA,1,,
1908,Athletics,ANZ,1,,
1908,Athletics,CAN,6,,
1908,Athletics,FIN,1,,
1908,Athletics,FRA,4,,
1908,Athletics,GBR,19,,
1908,Athletics,GER,5,,
1908,Athletics,GRE,3,,
1908,Athletics,HUN,5,,
1908,Athletics,ITA,1,,
1908,Athletics,NOR,3,,
1908,Athletics,RSA,2,,
1908,Athletics,SWE,5,,
1908,Athletics,USA,39,,
1908,Boxing,ANZ,1,,
1908,Boxing,GBR,14,,
1908,Cycling,BEL,1,,
1908,Cycling,CAN,4,,
1908,Cycling,FRA,6,,
1908,Cycling,GBR,14,,
1908,Cycling,GER,5,,
1908,Fencing,BEL,5,,
1908,Fencing,BOH,5,,
1908,Fencing,FRA,7,,
1908,Fencing,GBR,4,,
1908,Fencing,HUN,6,,
1908,Fencing,ITA,4,,
1908,Football,DEN,11,,
1908,Football,GBR,11,,
1908,Football,NED,11,,
1908,Gymnastics,FIN,25,,
1908,Gymnastics,FRA,1,,
1908,Gymnastics,GBR,1,,
1908,Gymnastics,ITA,1,,
1908,Gymnastics,NOR,32,,
1908,Gymnastics,SWE,59,,
1908,Hockey,GBR,22,,
1908,Jeu de paume,GBR,2,,
1908,Jeu de paume,USA,1,,
1908,Lacrosse,CAN,15,,
1908,Lacrosse,GBR,18,,
1908,Polo,GBR,12,,
1908,Rackets,GBR,10,,
1908,Rowing,BEL,9,,
1908,Rowing,CAN,11,,
1908,Rowing,GBR,32,,
1908,Rowing,GER,3,,
1908,Rowing,HUN,1,,
1908,Rugby,ANZ,15,,
1908,Rugby,GBR,15,,
1908,Sailing,BEL,3,,
1908,Sailing,FRA,3,,
1908,Sailing,GBR,37,,
1908,Sailing,SWE,5,,
1908,Shooting,BEL,6,,
1908,Shooting,CAN,14,,
1908,Shooting,FRA,10,,
1908,Shooting,GBR,45,,
1908,Shooting,NOR,8,,
1908,Shooting,SWE,16,,
1908,Shooting,USA,14,,
1908,Skating,GBR,7,,
1908,Skating,GER,4,,
1908,Skating,RU1,1,,
1908,Skating,SWE,3,,
1908,Tennis,GBR,20,,
1908,Tennis,GER,1,,
1908,Tennis,SWE,3,,
1908,Tug of War,GBR,27,,
1908,Water Motorsports,FRA,1,,
1908,Water Motorsports,GBR,4,,
1908,Wrestling,CAN,1,,
1908,Wrestling,DEN,3,,
1908,Wrestling,FIN,3,,
1908,Wrestling,GBR,11,,
1908,Wrestling,HUN,1,,
1908,Wrestling,ITA,1,,
1908,Wrestling,NOR,1,,
1908,Wrestling,RU1,2,,
1908,Wrestling,SWE,2,,
1908,Wrestling,USA,2,,
1912,Aquatics,ANZ,9,,
1912,Aquatics,AUT,4,,
1912,Aquatics,BEL,7,,
1912,Aquatics,CAN,2,,
1912,Aquatics,GBR,20,,
1912,Aquatics,GER,14,,
1912,Aquatics,SWE,15,,
1912,Aquatics,USA,7,,
1912,Athletics,CAN,5,,
1912,Athletics,FIN,15,,
1912,Athletics,FRA,5,,
1912,Athletics,GBR,20,,
1912,Athletics,GER,2,,
1912,Athletics,GRE,2,,
1912,Athletics,HUN,1,,
1912,Athletics,ITA,1,,
1912,Athletics,NOR,1,,
1912,Athletics,RSA,2,,
1912,Athletics,SWE,24,,
1912,Athletics,USA,49,,
1912,Cycling,GBR,5,,
1912,Cycling,RSA,1,,
1912,Cycling,SWE,4,,
1912,Cycling,USA,5,,
1912,Equestrian,BEL,1,,
1912,Equestrian,FRA,6,,
1912,Equestrian,GER,10,,
1912,Equestrian,SWE,12,,
1912,Equestrian,USA,4,,
1912,Fencing,AUT,8,,
1912,Fencing,BEL,10,,
1912,Fencing,DEN,1,,
1912,Fencing,GBR,8,,
1912,Fencing,HUN,11,,
1912,Fencing,ITA,2,,
1912,Fencing,NED,11,,
1912,Football,DEN,11,,
1912,Football,GBR,11,,
1912,Football,NED,11,,
1912,Gymnastics,DEN,49,,
1912,Gymnastics,FIN,21,,
1912,Gymnastics,FRA,1,,
1912,Gymnastics,GBR,24,,
1912,Gymnastics,HUN,16,,
1912,Gymnastics,ITA,18,,
1912,Gymnastics,NOR,47,,
1912,Gymnastics,SWE,24,,
1912,Modern Pentathlon,SWE,3,,
1912,Rowing,BEL,1,,
1912,Rowing,CAN,1,,
1912,Rowing,DEN,10,,
1912,Rowing,GBR,24,,
1912,Rowing,GER,14,,
1912,Rowing,NOR,5,,
1912,Rowing,RU1,1,,
1912,Rowing,SWE,5,,
1912,Sailing,DEN,3,,
1912,Sailing,FIN,19,,
1912,Sailing,FRA,3,,
1912,Sailing,NOR,15,,
1912,Sailing,RU1,7,,
1912,Sailing,SWE,26,,
1912,Shooting,DEN,8,,
1912,Shooting,FIN,5,,
