Edition,NOC,Vitorias por ano
1896,AUS,2
1896,AUT,5
1896,DEN,6
1896,FRA,11
1896,GBR,7
1896,GER,33
1896,GRE,52
1896,HUN,6
1896,SUI,3
1896,USA,20
1896,ZZX,6
1900,AUS,5
1900,AUT,6
1900,BEL,39
1900,BOH,2
1900,CAN,2
1900,CUB,2
1900,DEN,6
1900,ESP,2
1900,FRA,185
1900,GBR,78
1900,GER,40
1900,HUN,5
1900,IND,2
1900,ITA,4
1900,NED,20
1900,NOR,9
1900,SUI,15
1900,SWE,1
1900,USA,55
1900,ZZX,34
1904,AUT,1
1904,CAN,35
1904,CUB,9
1904,GBR,2
1904,GER,13
1904,GRE,2
1904,HUN,4
1904,SUI,2
1904,USA,394
1904,ZZX,8
1908,ANZ,19
1908,AUT,1
1908,BEL,31
1908,BOH,5
1908,CAN,51
1908,DEN,15
1908,FIN,29
1908,FRA,35
1908,GBR,347
1908,GER,22
1908,GRE,3
1908,HUN,18
1908,ITA,7
1908,NED,11
1908,NOR,44
1908,RSA,2
1908,RU1,3
1908,SWE,98
1908,USA,63
1912,ANZ,10
1912,AUT,14
1912,BEL,19
1912,CAN,8
1912,DEN,84
1912,FIN,67
1912,FRA,25
1912,GBR,160
1912,GER,52
1912,GRE,2
1912,HUN,30
1912,ITA,21
1912,NED,22
1912,NOR,76
1912,RSA,7
1912,RU1,14
1912,SWE,173
1912,USA,101
1920,AUS,6
1920,BEL,188
1920,BRA,7
1920,CAN,16
1920,DEN,75
1920,ESP,24
1920,EST,3
1920,FIN,49
1920,FRA,141
1920,GBR,107
1920,GRE,5
1920,ITA,84
1920,JPN,3
1920,LUX,1
1920,NED,48
1920,NOR,141
1920,NZL,1
1920,RSA,21
1920,SUI,29
1920,SWE,146
1920,TCH,10
1920,USA,193
1924,ARG,11
1924,AUS,10
1924,AUT,4
1924,BEL,38
1924,CAN,20
1924,DEN,12
1924,EST,6
1924,FIN,52
1924,FRA,122
1924,GBR,66
1924,HAI,7
1924,HUN,20
1924,ITA,51
1924,JPN,1
1924,NED,26
1924,NOR,26
1924,NZL,1
1924,POL,5
1924,POR,3
1924,ROU,23
1924,RSA,3
1924,SUI,65
1924,SWE,80
1924,TCH,10
1924,URU,22
1924,USA,198
1924,YUG,2
1928,ARG,32
1928,AUS,4
1928,AUT,4
1928,BEL,5
1928,CAN,33
1928,CHI,1
1928,DEN,13
1928,EGY,4
1928,ESP,3
1928,EST,9
1928,FIN,25
1928,FRA,36
1928,GBR,55
1928,GER,72
1928,HAI,1
1928,HUN,20
1928,IND,15
1928,IRL,1
1928,ITA,70
1928,JPN,8
1928,NED,65
1928,NOR,9
1928,NZL,1
1928,PHI,1
1928,POL,18
1928,RSA,6
1928,SUI,29
1928,SWE,36
1928,TCH,16
1928,URU,22
1928,USA,84
1928,YUG,12
1932,ARG,4
1932,AUS,5
1932,AUT,5
1932,CAN,38
1932,DEN,9
1932,ESP,1
1932,FIN,29
1932,FRA,37
1932,GBR,34
1932,GER,38
1932,HUN,32
1932,IND,11
1932,IRL,2
1932,ITA,77
1932,JPN,31
1932,LAT,1
1932,MEX,2
1932,NED,12
1932,NZL,2
1932,PHI,3
1932,POL,19
1932,RSA,5
1932,SUI,1
1932,SWE,31
1932,TCH,4
1932,URU,1
1932,USA,181
1936,ARG,11
1936,AUS,1
1936,AUT,50
1936,BEL,12
1936,CAN,22
1936,DEN,6
1936,EGY,5
1936,EST,7
1936,FIN,26
1936,FRA,43
1936,GBR,36
1936,GER,210
1936,HUN,42
1936,IND,19
1936,ITA,71
1936,JPN,21
1936,LAT,2
1936,MEX,16
1936,NED,37
1936,NOR,28
1936,NZL,1
1936,PHI,1
1936,POL,9
1936,POR,3
