NOC,Country,IOC,2 letter ISO
AFG,Afghanistan,AFG,AF
AHO,Netherlands Antilles*,AHO,AN
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ALG,Algeria,ALG,DZ
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ANZ,Australia,ANZ,AU
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
ARG,Argentina,ARG,AR
